iter	RMSE
0	0.397654456
1	0.3964771431
2	0.3952528251
3	0.393973223
4	0.3927277568
5	0.3914609171
6	0.3901856141
7	0.3889483772
8	0.3878265248
9	0.3866890772
10	0.3855905374
11	0.3843818479
12	0.3831888695
13	0.3820323274
14	0.3808756246
15	0.3796868352
16	0.3784562158
17	0.3773426631
18	0.3761586864
19	0.3749911339
20	0.3738819635
21	0.3727394238
22	0.371562699
23	0.3704786924
24	0.3694206313
25	0.3682803128
26	0.3671955247
27	0.3661679952
28	0.3651743684
29	0.3640160083
30	0.3629265556
31	0.3619185376
32	0.3609137491
33	0.3597945199
34	0.3587122221
35	0.3576572599
36	0.3566113794
37	0.3555296924
38	0.354469462
39	0.3534241281
40	0.352443022
41	0.351487344
42	0.3505034787
43	0.3494789587
44	0.3484241819
45	0.3474042112
46	0.34643407
47	0.3453692324
48	0.3443341867
49	0.3433610034
50	0.3423694243
51	0.3414146551
52	0.3404781307
53	0.3395157203
54	0.3385278446
55	0.3376213235
56	0.3366751383
57	0.3357015902
58	0.3346976786
59	0.3337946271
60	0.3329572222
61	0.3321085729
62	0.3312829809
63	0.3303857019
64	0.3295387967
65	0.3285948914
66	0.3276056475
67	0.3266559209
68	0.3257434429
69	0.3248096317
70	0.3239024216
71	0.3230069244
72	0.322134664
73	0.3212700944
74	0.3204667718
75	0.3195758703
76	0.3187223585
77	0.3179165611
78	0.3171441092
79	0.316268443
80	0.3154981956
81	0.3146307164
82	0.3138351443
83	0.313035552
84	0.3122169976
85	0.311317724
86	0.3104950188
87	0.3096095132
88	0.3087216658
89	0.3079694474
90	0.3072135632
91	0.3064188599
92	0.3055511253
93	0.3047871541
94	0.3040151328
95	0.3032888299
96	0.302574334
97	0.3017878222
98	0.3010174713
99	0.3003074601
100	0.2995814885
101	0.2987900075
102	0.2979816107
103	0.2972016051
104	0.2963919328
105	0.2956051085
106	0.2948863918
107	0.2941730356
108	0.2933942682
109	0.2926834199
110	0.2920192784
111	0.29128429
112	0.2905768536
113	0.2898183583
114	0.2890889764
115	0.2884208634
116	0.2876838557
117	0.2869347665
118	0.2861910674
119	0.2855617204
120	0.2848927899
121	0.2841747489
122	0.2835045945
123	0.2828735596
124	0.2821576472
125	0.2814552481
126	0.2807938223
127	0.280052452
128	0.2793773274
129	0.278701601
130	0.2780102586
131	0.2774370155
132	0.2767916328
133	0.2761529683
134	0.2755210065
135	0.2748509406
136	0.2741394916
137	0.2734617142
138	0.2727908082
139	0.2721820529
140	0.2715620139
141	0.2708788971
142	0.2702444536
143	0.26955634
144	0.2689006186
145	0.2682391054
146	0.2676329983
147	0.2669766797
148	0.2663644354
149	0.2657397786
150	0.2651763255
151	0.2645616398
152	0.263954491
153	0.2633862132
154	0.2627504478
155	0.2621862326
156	0.2616299513
157	0.260987426
158	0.2603871978
159	0.2598201027
160	0.259254338
161	0.2587090392
162	0.2581085054
163	0.2574958457
164	0.2568746008
165	0.256276629
166	0.2556690129
167	0.255074591
168	0.2544656067
169	0.253907491
170	0.2533369192
171	0.2528336805
172	0.2523182534
173	0.2517764606
174	0.2512140835
175	0.2506506115
176	0.250077928
177	0.2495819875
178	0.2490817605
179	0.2485992892
180	0.2480551838
181	0.2475288396
182	0.2469482678
183	0.246344907
184	0.2458497747
185	0.2452821142
186	0.2447643309
187	0.2442184532
188	0.2437015669
189	0.2431358101
190	0.2426597614
191	0.2421863008
192	0.2416677642
193	0.2411758536
194	0.2406544422
195	0.2401211906
196	0.2396321594
197	0.2391340267
198	0.2386447682
199	0.238113764
200	0.2376251238
201	0.2371640724
202	0.23666216
203	0.2362401669
204	0.2357656299
205	0.2352683862
206	0.2347815511
207	0.2342746734
208	0.2338152674
209	0.2333302525
210	0.2328729931
211	0.2323764679
212	0.2319335187
213	0.2314685806
214	0.2309828635
215	0.2304680271
216	0.2300315294
217	0.2295945558
218	0.229160755
219	0.2286810511
220	0.228261122
221	0.2277969268
222	0.2273545016
223	0.2268672397
224	0.2264091016
225	0.2259729
226	0.2255480292
227	0.2251076222
228	0.2247365522
229	0.2242904614
230	0.2238556396
231	0.2234395898
232	0.2230372397
233	0.2226084855
234	0.2221549455
235	0.2216806259
236	0.2213155246
237	0.2208983083
238	0.2204844632
239	0.220069873
240	0.2196863676
241	0.2193163001
242	0.2189245053
243	0.2185387318
244	0.2181721852
245	0.2177670446
246	0.2173738328
247	0.2169651914
248	0.2166276491
249	0.2162433621
250	0.2158612402
251	0.215498938
252	0.2151098774
253	0.2147440833
254	0.2143575326
255	0.2139802893
256	0.2136377202
257	0.2132755481
258	0.2128849135
259	0.2125479008
260	0.2121205231
261	0.2118124105
262	0.2114471635
263	0.2110981089
264	0.2107344521
265	0.2103565022
266	0.2099558896
267	0.2096073937
268	0.2091951497
269	0.2088175577
270	0.2084739407
271	0.2081053861
272	0.2077689476
273	0.2074400854
274	0.2070624914
275	0.2067105179
276	0.2063491843
277	0.2059999771
278	0.2056841188
279	0.2053648359
280	0.2050136492
281	0.2046971089
282	0.2043595348
283	0.2040518629
284	0.2037123806
285	0.203408154
286	0.2030763406
287	0.2027783353
288	0.202513398
289	0.2022027744
290	0.2018558622
291	0.2015820428
292	0.2012689147
293	0.200932172
294	0.2006128949
295	0.2002760826
296	0.1999390384
297	0.1996554186
298	0.1993490597
299	0.1990700816
300	0.1987661923
301	0.1984783698
302	0.1981854211
303	0.1979067842
304	0.1975900321
305	0.1973455817
306	0.1970494346
307	0.1967426263
308	0.196445762
309	0.1961608922
310	0.1958426666
311	0.1955201288
312	0.1952080798
313	0.1948902814
314	0.1945998642
315	0.1943250653
316	0.1940041255
317	0.1937212894
318	0.1934295499
319	0.1931588388
320	0.1928630245
321	0.1925704101
322	0.1923020865
323	0.1920367713
324	0.1917458133
325	0.1914729115
326	0.1911725404
327	0.1909187602
328	0.1906624297
329	0.1904074654
330	0.1901302774
331	0.1898545804
332	0.1895896368
333	0.1893354921
334	0.1890613507
335	0.1887701409
336	0.1884990932
337	0.1882229164
338	0.1879530648
339	0.1877086806
340	0.1874647873
341	0.1872308871
342	0.1869902076
343	0.1867357973
344	0.1864563228
345	0.1862071366
346	0.1859430885
347	0.1856944179
348	0.1854668544
349	0.1852196176
350	0.1849661104
351	0.1847259026
352	0.1844763875
353	0.1842566637
354	0.1839977848
355	0.1837318653
356	0.1835212406
357	0.1832627123
358	0.1830484734
359	0.1828103248
360	0.1825990773
361	0.1823724801
362	0.1821659882
363	0.1819260713
364	0.1816740027
365	0.1814466141
366	0.1811853297
367	0.1809452686
368	0.1806847145
369	0.1804632599
370	0.180240895
371	0.1800374955
372	0.179792035
373	0.1795868201
374	0.1793908015
375	0.1791904857
376	0.1789782023
377	0.1787296922
378	0.1784843978
379	0.1782260749
380	0.1780066751
381	0.17777843
382	0.177590261
383	0.1773981213
384	0.1771422168
385	0.1769308351
386	0.1767379439
387	0.1765087667
388	0.1763301696
389	0.1761145449
390	0.1759056061
391	0.1756953274
392	0.175482671
393	0.1752929855
394	0.1751123902
395	0.1749187449
396	0.1747065354
397	0.1745217406
398	0.1743226168
399	0.1741100884
400	0.173906798
401	0.1737173128
402	0.1735511205
403	0.1733639567
404	0.1731646853
405	0.1729748475
406	0.1727521638
407	0.17254661
408	0.1723347624
409	0.1721643814
410	0.1719607145
411	0.1717640036
412	0.1715919958
413	0.1714170298
414	0.1712383748
415	0.1710916097
416	0.1709017111
417	0.1707537914
418	0.1705857348
419	0.1704096816
420	0.1702182588
421	0.1700262674
422	0.1698527983
423	0.1696709978
424	0.1695132433
425	0.1693255118
426	0.1691483827
427	0.1689477614
428	0.1687849965
429	0.1686429983
430	0.1684692431
431	0.1683407742
432	0.1681586046
433	0.1679828879
434	0.1678181533
435	0.1676142447
436	0.1673888107
437	0.1672307702
438	0.1670280255
439	0.1668743845
440	0.1667052205
441	0.1665214127
442	0.1663407587
443	0.1661677047
444	0.1660387509
445	0.1658675656
446	0.1657064775
447	0.165538991
448	0.1653483175
449	0.1651982533
450	0.1650246683
451	0.1648604211
452	0.1646965102
453	0.1645336842
454	0.1643817376
455	0.164258929
456	0.1641302297
457	0.1639824026
458	0.1638252701
459	0.1636499978
460	0.1635079445
461	0.1633377579
462	0.1631800387
463	0.1630114322
464	0.1628421017
465	0.1626730651
466	0.1625119461
467	0.1623701241
468	0.1622125766
469	0.1620476216
470	0.1619055483
471	0.161748019
472	0.1616019056
473	0.1614370214
474	0.161306734
475	0.161146221
476	0.1609728588
477	0.1608230454
478	0.1606637321
479	0.1605102418
480	0.1603634967
481	0.1602063402
482	0.1600401142
483	0.1598893812
484	0.1597328104
485	0.1595779406
486	0.1594142174
487	0.1592663198
488	0.1591122281
489	0.1589788905
490	0.1588203014
491	0.1586579552
492	0.1585099389
493	0.158379014
494	0.1582319317
495	0.1580920736
496	0.1579459052
497	0.1578062449
498	0.1576586986
499	0.1575177829
500	0.1573901857
501	0.1572607899
502	0.1571406367
503	0.1570141625
504	0.1568708898
505	0.1567215798
506	0.1565800837
507	0.1564315161
508	0.1562859633
509	0.1561493767
510	0.1560149801
511	0.1558866741
512	0.1557430069
513	0.1556205989
514	0.1554964699
515	0.1553602717
